"objectid","filename","youtubeid","vimeoid","title","creator","date","description","subject","location","latitude","longitude","source","identifier","type","format","language","rights","rightsstatement"
"coll001","20200803T224024.jpg",,,,"Aquino, Craig Alexander A.","20200803T224024.jpg","Bird","Bird",,,,,"caa_birb_01","Image;StillImage","image/jpeg",,"CC BY-NC 3.0","https://creativecommons.org/licenses/by-nc/3.0/"
"coll002","20200803T234549.jpg",,,,"Aquino, Craig Alexander A.","20200803T234549.jpg","Bird","Bird",,,,,"caa_birb_02","Image;StillImage","image/jpeg",,"CC BY-NC 3.0","https://creativecommons.org/licenses/by-nc/3.0/"
"coll003","20200804T143613.jpg",,,,"Aquino, Craig Alexander A.","20200804T143613.jpg","Bird","Bird",,,,,"caa_birb_03","Image;StillImage","image/jpeg",,"CC BY-NC 3.0","https://creativecommons.org/licenses/by-nc/3.0/"
"coll004","20200805T125534.jpg",,,,"Aquino, Craig Alexander A.","20200805T125534.jpg","Bird","Bird",,,,,"caa_birb_04","Image;StillImage","image/jpeg",,"CC BY-NC 3.0","https://creativecommons.org/licenses/by-nc/3.0/"
"coll005","20200805T170027.jpg",,,,"Aquino, Craig Alexander A.","20200805T170027.jpg","Bird","Bird",,,,,"caa_birb_05","Image;StillImage","image/jpeg",,"CC BY-NC 3.0","https://creativecommons.org/licenses/by-nc/3.0/"
"coll006","20200806T163920.jpg",,,,"Aquino, Craig Alexander A.","20200806T163920.jpg","Bird","Bird",,,,,"caa_birb_06","Image;StillImage","image/jpeg",,"CC BY-NC 3.0","https://creativecommons.org/licenses/by-nc/3.0/"
"coll007","20200806T173604.jpg",,,,"Aquino, Craig Alexander A.","20200806T173604.jpg","Bird","Bird",,,,,"caa_birb_07","Image;StillImage","image/jpeg",,"CC BY-NC 3.0","https://creativecommons.org/licenses/by-nc/3.0/"
"coll008","20200806T173631.jpg",,,,"Aquino, Craig Alexander A.","20200806T173631.jpg","Bird","Bird",,,,,"caa_birb_08","Image;StillImage","image/jpeg",,"CC BY-NC 3.0","https://creativecommons.org/licenses/by-nc/3.0/"
"coll009","20200806T173841.jpg",,,,"Aquino, Craig Alexander A.","20200806T173841.jpg","Bird","Bird",,,,,"caa_birb_09","Image;StillImage","image/jpeg",,"CC BY-NC 3.0","https://creativecommons.org/licenses/by-nc/3.0/"
"coll010","20200807T170019.jpg",,,,"Aquino, Craig Alexander A.","20200807T170019.jpg","Bird","Bird",,,,,"caa_birb_10","Image;StillImage","image/jpeg",,"CC BY-NC 3.0","https://creativecommons.org/licenses/by-nc/3.0/"
"coll011","20200807T170706.jpg",,,,"Aquino, Craig Alexander A.","20200807T170706.jpg","Bird","Bird",,,,,"caa_birb_11","Image;StillImage","image/jpeg",,"CC BY-NC 3.0","https://creativecommons.org/licenses/by-nc/3.0/"
"coll012","20200808T063756.jpg",,,,"Aquino, Craig Alexander A.","20200808T063756.jpg","Bird","Bird",,,,,"caa_birb_12","Image;StillImage","image/jpeg",,"CC BY-NC 3.0","https://creativecommons.org/licenses/by-nc/3.0/"
"coll013","20200808T064357.jpg",,,,"Aquino, Craig Alexander A.","20200808T064357.jpg","Bird","Bird",,,,,"caa_birb_13","Image;StillImage","image/jpeg",,"CC BY-NC 3.0","https://creativecommons.org/licenses/by-nc/3.0/"
"coll014","20200808T064403.jpg",,,,"Aquino, Craig Alexander A.","20200808T064403.jpg","Bird","Bird",,,,,"caa_birb_14","Image;StillImage","image/jpeg",,"CC BY-NC 3.0","https://creativecommons.org/licenses/by-nc/3.0/"
"coll015","20200808T064528.jpg",,,,"Aquino, Craig Alexander A.","20200808T064528.jpg","Bird","Bird",,,,,"caa_birb_15","Image;StillImage","image/jpeg",,"CC BY-NC 3.0","https://creativecommons.org/licenses/by-nc/3.0/"
